   2 나와	있는데요
   2 끔찍하게	생각
   2 꺾이지	않는
   2 까지	런던
   2 까지	기록
   2 기자	확
   2 기자	도심
   2 기자	네
   2 기자	가
   2 기록	했다가
   2 기관지	바이러스
   2 기간	단축
   2 급증	해도
   2 글로벌	K
   2 그러면	이
   2 규제	를
   2 권고	하는
   2 권고	하
   2 군	등
   2 국	자문
   2 교통	의
   2 교육	현장
   2 교수	영국
   2 교사	백신
   2 광장	앞
   2 관광지	이자
   2 과	시민단체
   2 과	백신
   2 공지	사항
   2 공중보건	국
   2 공유	하기
   2 공원	시민
   2 고화질	BUTTON
   2 고정	취소
   2 고요	지난
   2 고	위험
   2 계획	은
   2 계속	4만
   2 경인	BUTTON
   2 경기장	에도
   2 결론	적
   2 결과	지난주
   2 격리	기간
   2 겨울철	확
   2 게	아니라
   2 것	같습니다
   2 겁니다	리차드
   2 검색	창
   2 걸음	입니다
   2 건	7월
   2 거부	의사
   2 거부	시위
   2 거부	vs
   2 거나	지침
   2 거	죠
   2 거	부자
   2 개인	의
   2 개월	동안
   2 같은	기관지
   2 같습니다	지금
   2 강화할	계획
   2 강조	했습니다
   2 강압	과
   2 갔었는데	어느
   2 감염	자
   2 감염	되지
   2 가야	할
   2 가량	인데
   2 가	취재
   2 가	중요
   2 가	조금
   2 가	없었습니다
   2 가	몰린
   2 가	대부분
   2 가	급증
   2 가	6800만
   2 美	법원
   2 →	7일
   2 ​	확
   2 vs	마스크
   2 o	특파원
   2 WORLD	KBS
   2 N	채널
   2 KBS	취재
   2 KBS	소개
   2 BUTTON	표준
   2 BUTTON	키
   2 BUTTON	좋아요
   2 BUTTON	글씨
   2 BUTTON	고화질
   2 BUTTON	검색
   2 930	뉴스
   2 7일	로
   2 7월	당시
   2 6만	명
   2 6800만	명
   2 66	로
   2 60	후반
   2 5만	명
   2 50	살
   2 4만	명대
   2 4	개월
   2 3833	명
   2 2	위
   2 1천	명대
   2 19	팬데믹
   2 19	신규
   2 19	뿐
   2 15	살
   2 12	살
   2 10일	→
   2 100	명
   2 10	포인트
   2 1	TV
   2 02781	1000
   2 01	2344
   2 01	2118
   1 홈페이지	httpsgoogl4bWbkG
   1 현장	영상
   1 현장	고봉
   1 헤드라인	배너
   1 행정소송	방역
   1 행정소송	美
   1 합시다	o
   1 한국	언론
   1 한	방
   1 하는	기자
   1 하기	코로나
