   1 Cardiff	and
   1 Cardiff	Coronavirus
   1 Business	Tech
   1 Business	North
   1 British	skier
   1 Blinders	series
   1 Big	sporting
   1 Betty	White
   1 Bayside	vaccination
   1 Bayside	mass
   1 Barry	said
   1 BUTTON	close
   1 BUTTON	Share
   1 BUTTON	Copy
   1 BUTTON	Close
   1 BBC	is
   1 BBC	What
   1 BBC	The
   1 BBC	Radio
   1 BBC	Privacy
   1 BBC	Homepage
   1 BBC	Get
   1 BBC	Advertise
   1 Asher	Smith
   1 As	we
   1 Arts	More
   1 Archbishop	Desmond
   1 Antikythera	Mechanism
   1 Anti	vaccination
   1 Angela	said
   1 Africa	plays
   1 Advertise	with
   1 AdChoices	Do
   1 About	the
   1 About	sharing
   1 A	time
   1 A	tense
   1 9Fireworks	kill
   1 8US	flight
   1 7Antarctic	station
   1 6How	nine
   1 61	year
   1 6	Cillian
   1 5Denmark	wants
   1 50	yards
   1 4Face	masks
   1 42	year
   1 4	hours
   1 4	October
   1 3Child	memory
   1 2S	Korean
   1 2030	6How
   1 2022	without
   1 2022	calendar
   1 2022	Parkour
   1 2022	BBC
   1 2021	Top
   1 2021	BUTTON
   1 2021	Anti
   1 2013	Templeton
   1 2006	Big
   1 2005	Africa
   1 2	000
   1 1Major	fire
   1 19	outbreak
   1 19	He
   1 16	hours
   1 15	protesters
   1 15	in
   1 10New	Year
   1 10	days
   1 10	October
   1 1	hour
   1 000	year
